GameID,StartTime,EndTime,Duration,Moves,Winner
1701244053,2023-11-29 07:47:33,2023-11-29 07:47:33,0:00:00.000402,9,None
1701244139,2023-11-29 07:48:59,2023-11-29 07:48:59,0:00:00.000357,9,None
1701244287,2023-11-29 07:51:27,2023-11-29 07:51:33,0:00:06.058939,8,None
1701244310,2023-11-29 07:51:50,2023-11-29 07:51:53,0:00:03.009914,4,<__main__.Player object at 0x7f952f343850>
1701244328,2023-11-29 07:52:08,2023-11-29 07:52:11,0:00:03.020220,8,None
1701244356,2023-11-29 07:52:36,2023-11-29 07:52:39,0:00:03.176028,0,<__main__.Player object at 0x7f103d9f3850>
1701244429,2023-11-29 07:53:49,2023-11-29 07:53:50,0:00:01.554678,0,<__main__.Player object at 0x7fcafe307850>
1701244466,2023-11-29 07:54:26,2023-11-29 07:54:30,0:00:03.230597,0,
1701244480,2023-11-29 07:54:40,2023-11-29 07:54:43,0:00:03.052334,0,
